供货点,产品类型,产品条目,最低店铺等级,商品Tag,基础价格（进货）,,,,,,
河童供货,工艺品,游戏光碟《随便扭扭就可以通关的弹幕游戏》,4,"玩具,高科技产品",500,,,,,,
河童供货,工艺品,河童掌上游戏机,4,"玩具,高科技产品",2500,,,,,,
河童供货,食品,铁罐黑色汽水,5,零食,200,,,,,,
河童供货,食品,铁罐橙色汽水,5,零食,200,,,,,,
河童供货,食品,铁罐无色汽水,5,零食,200,,,,,,
河童供货,衣服,河童工服,6,职业装束,500,,,,,,
河童供货,衣服,山佬麻衣,6,职业装束,400,,,,,,
河童供货,衣服,天狗白衣,6,职业装束,800,,,,,,
河童供货,装备,河童制式军刀,7,武器,1000,,,,,,
河童供货,装备,河童精工步枪,7,"武器,高科技产品",6000,,,,,,
河童供货,装备,河童精工外骨骼套装,7,"武装装备,高档用品,高科技产品",10000,,,,,,
河童供货,装备,河童人工学迷彩服,7,"武装装备,高档用品,高科技产品",5000,,,,,,
河童供货,装备,仿制型风神扇,7,"高档用品,魔法道具",2000,,,,,,
河童供货,装备,天狗戊卫长刀,7,武器,3500,,,,,,
河童供货,装备,天狗戊卫手盾,7,武器,2500,,,,,,
河童供货,装备,天狗戊卫甲衣,7,武器,8000,,,,,,
河童供货,装备,河童高科技实验型激光剑,7,"武器,高科技产品",8500,,,,,,
妹红供货,原材料,煤炭,1,实用百货,100,,,,,,
妹红供货,原材料,木炭,1,实用百货,80,,,,,,
妹红供货,原材料,原木,1,实用百货,50,,,,,,
妹红供货,原材料,打火石,1,实用百货,100,,,,,,
妹红供货,原材料,蜂窝煤,1,实用百货,200,,,,,,
妹红供货,原材料,耐烧的不死鸟石头,1,特殊材料,500,,,,,,
妹红供货,原材料,瓶装凤凰羽毛,1,特殊材料,500,,,,,,
妹红供货,原材料,不死者之血,1,特殊材料,800,,,,,,
妹红供货,日用品,爆竹,2,玩具,200,,,,,,
妹红供货,日用品,手持花火,2,玩具,150,,,,,,
妹红供货,日用品,慧音改良大型烟花,2,玩具,300,,,,,,
妹红供货,日用品,照明弹,2,实用百货,500,,,,,,
月都供货,工艺品,蓬莱山辉夜的手办,4,玩具,1500,,,,,,
月都供货,工艺品,不知名的各种外界少女手办,4,玩具,800,,,,,,
月都供货,工艺品,知名的各种外界猛男手办,4,玩具,600,,,,,,
月都供货,工艺品,月都产电子游戏机,4,玩具,2000,,,,,,
永远亭药业,药品,全效能抗生素,8,"药品,高科技产品",5500,,,,,,
永远亭药业,药品,全效能疫苗,8,"药品,高科技产品",8000,,,,,,
永远亭药业,药品,量产型生命药水,8,"药品,高科技产品",2000,,,,,,
永远亭药业,药品,量产型法力药水,8,"药品,高科技产品",2500,,,,,,
永远亭药业,药品,蓬莱圣愈药水,8,"药品,高科技产品",8000,,,,,,
永远亭药业,药品,干细胞再生口服片剂,8,"药品,高科技产品",15000,,,,,,
永远亭药业,药品,绀珠秘药,8,"药品,高科技产品",25000,,,,,,
永远亭药业,药品,筋力增长胶囊,8,"药品,高科技产品",3000,,,,,,
永远亭药业,药品,法力增长胶囊,8,"药品,高科技产品",3500,,,,,,
永远亭药业,药品,超人口服液,8,"药品,高科技产品",7500,,,,,,
永远亭药业,药品,短时效型蓬莱秘药,8,"药品,高科技产品",10000,,,,,,
其他,艺术品,芙兰朵露残翼宝石,9,高级工艺品,15000,,,,,,
其他,艺术品,诹访铁环,9,高级工艺品,8000,,,,,,
其他,艺术品,辉夜姬月光羽衣,9,高级工艺品,20000,,,,,,
其他,艺术品,辉夜姬月光宝饰,9,高级工艺品,10000,,,,,,
其他,艺术品,紧闭的恋之瞳泪珠,9,高级工艺品,6000,,,,,,
其他,艺术品,天衣无缝的亡灵和服,9,高级工艺品,15000,,,,,,
其他,艺术品,初代博丽御币,9,高级工艺品,16000,,,,,,
其他,艺术品,境界妖怪的华扇,9,高级工艺品,12000,,,,,,
其他,书籍,《核聚变烹饪食谱》,1,书,500,,,,,,
其他,书籍,《妖精医疗手册》,1,书,800,,,,,,
其他,书籍,《河童低达机动战士》,1,书,200,,,,,,
其他,书籍,《幻想乡刀剑知识》,1,书,500,,,,,,
其他,书籍,《魔炮使用者的自我修养》,1,书,1000,,,,,,
其他,书籍,《边吃边走幻想乡美食行记——西行寺幽幽子》,1,书,400,,,,,,
其他,书籍,《普通人也能学会！常见的辟邪方法——东风谷早苗》,1,书,800,,,,,,
其他,书籍,《慈悲的南无三——向圣白莲学习为人处世》,1,书,500,,,,,,
其他,书籍,来路不明的秘藏的妖怪书,1,书,2000,,,,,,
其他,书籍,《巫女偶像写真》,1,书,1200,,,,,,
其他,书籍,《大侦探鬼人正邪》,1,书,300,,,,,,
其他,书籍,《斯卡雷特的财富秘笈》,1,书,800,,,,,,
其他,书籍,来路不明的印字残片,1,书,120,,,,,,
其他,书籍,来路不明的损毁的书页,1,书,80,,,,,,
其他,书籍,来路不明的古老书籍,1,书,1000,,,,,,
其他,书籍,《河童技术周刊》,1,书,300,,,,,,
其他,书籍,《幻想乡花肥简史》,1,书,400,,,,,,
其他,书籍,《河童机械论-高级》,1,书,1000,,,,,,
其他,书籍,《东方香霖堂》,1,书,300,,,,,,
其他,书籍,《东方儚月抄》,1,书,350,,,,,,
其他,书籍,《河童机械论-中级》,1,书,800,,,,,,
其他,书籍,《文文。新闻》,1,书,200,,,,,,
其他,书籍,《花果子念报》,1,书,200,,,,,,
其他,书籍,《寺子屋识字书》,1,书,150,,,,,,
其他,书籍,《河童机械论-初级》,1,书,600,,,,,,
其他,书籍,《幻想乡缘起》,1,书,400,,,,,,
其他,书籍,《妖怪的小说》,1,书,250,,,,,,
其他,书籍,《东方求问口授》,1,书,450,,,,,,
其他,书籍,《东方文花帖》,1,书,350,,,,,,
其他,书籍,《东方文果真报》,1,书,300,,,,,,
其他,人里冷饮,老冰棍,5,零食,120,,,,,,
其他,人里冷饮,凉茶,5,零食,150,,,,,,
其他,人里冷饮,酸奶雪糕,5,零食,180,,,,,,
其他,河童冷饮,冰冻黄瓜,5,零食,150,,,,,,
其他,河童冷饮,水果雪糕,5,零食,150,,,,,,
其他,河童冷饮,氮气冰淇淋球,5,零食,200,,,,,,
其他,月都冷饮,普通的冰淇淋,5,零食,120,,,,,,
其他,月都冷饮,高级而且花哨的冰淇淋,5,"零食,高档食品",250,,,,,,
其他,人里热食,无肉关东煮,5,食品,200,,,,,,
其他,人里热食,秋姐妹烤红薯,5,食品,200,,,,,,
其他,人里热食,七十四小时长熬羊肉汤,5,食品,400,,,,,,
其他,人里热食,烤竹笋,5,食品,150,,,,,,
其他,人里热食,无盐汤,5,食品,180,,,,,,
其他,魔法森林热食,百发百中蘑菇汤,5,食品,500,,,,,,
其他,魔法森林热食,不可名状的混沌黑汤,5,食品,400,,,,,,
其他,红魔馆热食,豪华火鸡大餐,5,"食品,高档食品",1000,,,,,,
